name	ra	dec	pointing	region_number	region_lst	fermi
NGC7027	316.757000	42.236200	1	139	0.145111	nondetected
BLLACERTAE	330.680000	42.277800	1	38	0.320587	detected
B22125+35	321.929000	36.218000	0	38	0.320587	detected
J2204+3632	331.088000	36.543600	0	38	0.320587	nondetected
J2214+3739	333.524000	37.652500	0	38	0.320587	nondetected
CLJ2208+3904	332.016000	39.070900	0	38	0.320587	nondetected
NRAO676	330.431000	50.815700	0	38	0.320587	detected
2037+511	309.654000	51.320200	1	22	0.665352	detected
1ES2037+521	309.848000	52.330500	0	22	0.665352	detected
MG4J202932+4925	307.415000	49.439300	0	22	0.665352	detected
RGBJ2056+496	314.178000	49.668200	0	22	0.665352	detected
GB6J2102+4702	315.571000	47.037900	0	22	0.665352	detected
J2236+2828	339.094000	28.482500	1	54	0.982472	detected
J2244+2600	341.147000	26.005600	0	54	0.982472	nondetected
J2238+2749	339.554000	27.831100	0	54	0.982472	nondetected
J2216+3102	334.178000	31.043100	0	54	0.982472	nondetected
J2157+3127	329.370000	31.450300	0	54	0.982472	detected
J2219+2613	334.957000	26.224400	0	54	0.982472	nondetected
J2228+2503	337.007000	25.050800	0	54	0.982472	nondetected
J2217+2421	334.253000	24.362800	0	54	0.982472	detected
J2225+2118	336.409000	21.301700	0	54	0.982472	nondetected
J2212+2355	333.025000	23.927800	0	54	0.982472	detected
J2212+2843	333.043000	28.716700	0	54	0.982472	nondetected
J2203+3145	330.812000	31.760600	0	54	0.982472	nondetected
CLJ2300+3137	345.095000	31.617900	0	54	0.982472	detected
J2307+3230	346.816000	32.508600	0	54	0.982472	nondetected
J2216+3518	334.083000	35.303900	0	54	0.982472	nondetected
J2300+1655	345.179000	16.920600	1	71	1.599665	nondetected
CT_2255+2410	343.814000	24.169800	0	71	1.599665	detected
J2321+2732	350.499000	27.546200	0	71	1.599665	detected
A2627	354.178000	23.923300	0	71	1.599665	detected
BBJ2338+2124	354.735000	21.411400	0	71	1.599665	detected
J2322+1843	350.619000	18.723300	0	71	1.599665	nondetected
J2308+2008	347.048000	20.145000	0	71	1.599665	nondetected
BUJ2313+1444	348.489000	14.739900	0	71	1.599665	detected
